'ID_REF','IDENTIFIER','GDS2545.soft.gz_table_0.GSM152804','GDS2545.soft.gz_table_0.GSM152805','GDS2545.soft.gz_table_0.GSM152806','GDS2545.soft.gz_table_0.GSM152807','GDS2545.soft.gz_table_0.GSM152808','GDS2545.soft.gz_table_0.GSM152809','GDS2545.soft.gz_table_0.GSM152810','GDS2545.soft.gz_table_0.GSM152811','GDS2545.soft.gz_table_0.GSM152812','GDS2545.soft.gz_table_0.GSM152813','GDS2545.soft.gz_table_0.GSM152814','GDS2545.soft.gz_table_0.GSM152815','GDS2545.soft.gz_table_0.GSM152816','GDS2545.soft.gz_table_0.GSM152817','GDS2545.soft.gz_table_0.GSM152818','GDS2545.soft.gz_table_0.GSM152819','GDS2545.soft.gz_table_0.GSM152820','GDS2545.soft.gz_table_0.GSM152821'
'1000_at','MAPK3',535.4,459.9,404.1,360.4,527.5,345.4,561.7,718.9,389.8,446.1,429.8,319.9,685.6,709.8,460.6,558.5,698.2,534.8
'1001_at','TIE1',121.4,126.1,119.6,63.8,109.9,88.9,136.1,187.9,56.6,60.2,65.6,43.3,93.5,112.9,83.8,72.8,47.0,124.6
'1002_f_at','CYP2C19',11.8,10.7,7.0,6.2,10.8,36.6,32.1,20.5,4.0,6.6,2.3,8.9,5.6,13.3,20.1,10.6,9.2,15.4
'1003_s_at','CXCR5',62.5,16.5,49.8,16.2,22.8,71.0,81.5,98.7,12.8,54.0,13.6,27.2,38.4,30.6,19.4,23.7,50.0,45.1
'1004_at','CXCR5',81.9,13.6,22.3,73.3,130.9,113.0,261.0,131.8,45.1,77.0,86.8,123.6,102.4,14.9,111.2,40.2,180.1,105.1
'1005_at','DUSP1',433.1,784.5,872.4,1902.6,1890.9,1169.6,892.0,1217.2,1299.3,1678.1,1121.4,679.2,516.9,1295.2,1061.8,1039.7,1051.5,672.2
'1006_at','MMP10',32.9,7.3,4.1,2.6,6.9,34.1,27.6,15.0,1.9,11.0,23.4,26.1,6.2,7.3,6.4,9.7,8.1,28.7
'1007_s_at','DDR1',1830.0,423.1,750.8,1372.9,914.9,1200.3,519.8,540.4,1002.4,1126.8,1295.8,810.2,1505.7,886.6,562.7,636.7,1303.8,980.5
'1008_f_at','EIF2AK2',1542.3,1876.6,1457.1,2001.9,2491.2,1964.3,13142.6,8307.5,2611.9,1456.0,1635.8,1431.5,803.6,1823.3,1940.1,2222.6,2683.6,1935.4
'1009_at','HINT1',933.1,1167.1,968.9,1819.7,1152.6,1376.5,669.9,675.6,1677.7,2012.8,1614.5,1549.7,972.9,700.8,620.7,855.7,1056.6,838.6
'100_g_at','RABGGTA',359.0,296.6,202.7,274.3,304.2,359.9,96.7,504.9,435.4,320.6,253.7,268.3,335.5,308.0,216.7,261.2,342.8,380.5
'1010_at','MAPK11',49.3,8.5,6.9,9.5,14.0,15.7,28.7,17.1,11.1,6.5,9.7,44.5,5.8,14.6,6.7,9.4,10.0,65.2
'1011_s_at','YWHAE',323.1,143.3,267.7,226.1,88.0,214.4,35.4,112.2,143.2,507.5,451.2,449.7,422.3,386.2,364.9,364.0,476.2,396.0
'1012_at','KAT2B',30.9,37.2,15.6,7.4,7.7,20.4,56.6,13.3,39.9,31.8,27.8,43.7,59.6,23.3,16.2,27.7,28.2,43.8
