affy_probe	gene_symbol
229819_at	A1BG
51020_at	A1BG
38912_at	NAT2
206797_at	NAT2
41654_at	ADA
907_at	ADA
204639_at	ADA
216705_s_at	ADA
2053_at	CDH2
2054_g_at	CDH2
203440_at	CDH2
203441_s_at	CDH2
78951_at	AKT3
83997_r_at	AKT3
87279_at	AKT3
222880_at	AKT3
224229_s_at	AKT3
242876_at	AKT3
40781_at	AKT3
212607_at	AKT3
212609_s_at	AKT3
219393_s_at	AKT3
76059_at	AKT3
80409_at	AKT3
1446427_at	Zglp1
59930_at	NCRNA00224
82871_at	LOC100009676
232259_s_at	LOC100009676
232260_at	LOC100009676
80822_at	LOC100009676
83607_at	MED6
235473_at	MED6
35430_at	MED6
35431_g_at	MED6
35432_at	MED6
207078_at	MED6
207079_s_at	MED6
210104_at	MED6
71121_r_at	MED6
1436720_s_at	Oog3
1436721_x_at	Oog3
1424378_at	Ldlrap1
1457162_at	Ldlrap1
1458060_at	Ldlrap1
104730_at	Mdn1
1417675_a_at	Mdn1
1432675_at	Mdn1
1439585_at	Mdn1
31366_at	NR2E3
31667_r_at	NR2E3
208385_at	NR2E3
208388_at	NR2E3
75117_at	NAALAD2
233815_at	NAALAD2
35914_r_at	NAALAD2
222161_at	NAALAD2
76132_at	NAALAD2
1554504_at	NAALAD2
1554506_x_at	NAALAD2
1554507_at	NAALAD2
1436530_at	Gm11428
1399067_at	Gnl3l
1429231_at	9330171B17Rik
1431333_at	1700024h08rik
100729_at	Gm15772
1428670_at	2610305J24Rik
1456268_at	LOC100034739
1457531_a_at	A930017K11Rik
1431971_at	Gm14318
1428603_at	Gm16039
1443555_at	Gm16039
1454019_at	LOC100036523
1453780_at	LOC100036525
1431387_at	Gm9872
1437498_at	Gm9971
1454140_at	Gm11149
1428041_at	BC028777
1432414_at	Gm13999
1460481_at	Gm9744
1455539_at	Gm9983
D12820_at	Olr1867
1388081_at	Olr1867
1375569_at	Ccdc92
1389426_at	Ccdc92
1458888_at	Gm11696
102414_i_at	Dnajc3
102415_r_at	Dnajc3
94343_at	Dnajc3
1419162_s_at	Dnajc3
1419163_s_at	Dnajc3
1433887_at	Dnajc3
1449372_at	Dnajc3
1449373_at	Dnajc3
161868_r_at	Dnajc3
1444440_at	Gm12359
1431785_at	Rnaset2a
1446320_at	5430403G19Rik
1434273_at	Fam174b
1439480_at	Gm10857
1438873_at	Zfp389
1442559_at	Gm10062
1442574_at	Gm10785
1438830_at	Gm10512
1439816_at	Gm10567
1435740_at	Gm10397
1427662_at	BC025933
1457115_at	Gm10643
1445457_at	9130219A07Rik
1436265_at	Gm10419
1447030_at	Gm10461
1436287_at	Gm10664
1440759_at	Gm10672
1442120_at	G730007D18Rik
1444118_at	Gm10523
1441759_at	Gm10804
1447336_at	Gm10658
1448044_a_at	Gm10658
1448045_at	Gm10658
1436657_at	Gm11744
1442020_at	Gm12863
1446597_at	6820445E23Rik
1456884_at	6820445E23Rik
1456221_at	Gm10632
1441468_at	Gm10710
1442838_at	Gm11691
1447012_at	Gm10791
1444921_at	Gm10839
96368_f_at	Gm10459
1457616_at	Gm10776
1434693_at	Gm10699
1446929_at	D130062J21Rik
1443929_at	9830004L10Rik
1456594_at	Gm1971
1442558_at	Gm10421
1445725_at	Gm10796
1444649_at	Gm10309
1439668_at	Gm11681
1429922_at	Gm13629
1444174_at	Gm10700
1427627_at	BC038268
1441582_at	LOC100038759
1441711_at	Gm12575
1429323_at	Gm1973
98822_at	Isg15
1430893_at	Mup10
1447352_at	Gm2044
1441565_at	LOC100039111
95369_at	Ccdc152
1447492_at	Gm2087
1442712_at	Gm2090
1443716_at	Gm2102
1456523_at	Gm2115
1457494_at	Gm2136
1444008_at	Gm2137
1443538_at	Gm2164
1445347_at	Gm2164
1445150_at	Gm10399
1430786_at	1110002E22Rik
1447870_x_at	1110002E22Rik
1456299_at	E330012B07Rik
1454097_at	Zcwpw2
1429955_at	5031434O11Rik
1444616_x_at	Gm2380
1458418_at	Gm2380
93779_at	Gm2397
1429018_at	Hrct1
96967_at	Gm2426
1436221_at	Ildr2
1436293_x_at	Ildr2
1436894_at	Ildr2
1440680_at	Gm2453
1445801_at	Gm2461
1434193_at	Gm12942
89057_at	NAALADL1
228424_at	NAALADL1
34080_at	NAALADL1
207895_at	NAALADL1
1436814_at	1810010D01Rik
1436815_x_at	1810010D01Rik
1458909_at	1810010D01Rik
1440573_at	Gm2590
1455460_at	Gm2612
1441805_at	Gm2629
1442931_at	Gm15652
101375_at	Gm10228
1442089_at	Gm11563
100735_at	Krtap6-3
1427842_at	Krtap6-3
1452575_at	Krtap6-3
94129_at	Gm2682
1419842_at	Gm2682
97001_r_at	Olfr157
1460312_at	Olfr157
1437518_at	Gm2694
101613_at	Gm2717
1447427_at	Gm2717
160080_r_at	Rpl36a-ps2
1431220_at	2810416G20Rik
1435171_at	2810416G20Rik
1442790_at	LOC100040377
1459659_at	LOC100040377
1439199_at	Gm2769
1431918_at	1700036A12Rik
1446812_at	Gm2818
1459006_a_at	Gm2824
1456418_at	Kcnj13
1435834_at	Fancf
1438564_at	Fancf
1446731_at	Fancf
100914_at	Gm2889
1440097_at	Mirg
1457030_at	Mirg
1442202_at	Heatr7b1
1447368_at	Heatr7b1
1456631_at	Heatr7b1
1444252_at	Gm15506
1445074_at	Gm15506
1446456_at	Gm15506
1442917_at	Gm11627
1443372_at	Gm2990
1429645_at	1700017G19Rik
1435585_at	Tceal7
1454130_at	Gm3120
1436520_at	Ahnak2
1458475_at	Gm3227
1428995_at	Gm10345
1440254_at	Gm3246
1457668_x_at	D4Ertd617e
95795_at	Gm3258
1440556_at	Gm11985
1432363_at	Gm3336
1459121_at	Gm3363
1446126_at	Gm3388
1435407_at	Zkscan16
1442512_at	Gm3426
1431007_at	Gm3435
1439921_at	Gm3458
99551_f_at	Gm10104
1442468_at	Gm3501
1439071_at	5430416N02Rik
1437418_at	Gm3515
1456687_at	Gm3556
1437134_at	Gm15393
1446942_at	Gm3604
1443735_at	Gm3609
1447097_at	Gm3609
1439883_at	Gm3620
1441231_at	Gm3626
1459243_at	Gm3626
1431276_at	9130019P16Rik
1447066_at	Gm15535
1440361_at	Gm12371
1444491_at	Nrg2
1447654_at	Nrg2
1457283_at	Nrg2
1427461_at	BC005561
1457215_at	Gm13111
1439603_at	Gm13446
96492_at	Gm3716
1449600_at	Gm3716
1447281_at	Gm3764
1455624_at	Gm3764
1459503_at	Gm3764
1459905_at	Gm3764
1429510_at	2810410L24Rik
1438972_x_at	2810410L24Rik
1444014_at	D830025C05Rik
1445929_at	Gm3837
95384_at	Nhsl2
1438732_at	Nhsl2
1455040_s_at	Nhsl2
1456765_at	Nhsl2
161100_at	Nhsl2
1444932_at	4732419C18Rik
1442871_at	Gm3870
1428562_at	2210403K04Rik
1442304_at	Gm3916
1459561_at	Gm3924
1434259_at	Gm3925
1439251_at	Gm3932
1446381_at	Gm3948
1431996_at	Gm4022
1436651_at	Prdm11
1456186_at	Prdm11
1444694_at	Gm15234
1457419_s_at	Gm4047
1426088_at	Gm4076
1456966_at	C920021L13Rik
1445175_at	Gm4117
1445371_at	Tmem207
1443133_at	A230070E04Rik
1449607_at	A230070E04Rik
1457015_at	A230070E04Rik
1430459_at	4632428C04Rik
